id,name,latitude,longitude,state,city,type,holes,par,phone,website,year_built,address,postal_code,total_yardage,distance_mi
f537e738-2369-4cec-9e5f-6c56cc5383dc,Harris Park Golf Course,39.0529997,-94.5650529,MO,Kansas City,Public,,,913-568-6317,http://harrissportskc.org/,2018,"4029 Wayne Ave, Kansas City, MO 64110, USA",64110,,3.3
6282c875-4fb2-4a49-9eb4-adf95981ed3d,Mission Hills Country Club,39.0291144,-94.6146104,KS,Mission Hills,Private,15,70,(913)-722-5400,https://www.missionhillscc.com/,1914,"5400 Mission Dr, Mission Hills, KS 66208, USA",66208,,5.2
a658026f-c67c-424c-85d1-8f4ac155c4c4,Kansas City Country Club,39.0214131,-94.6217341,KS,Mission Hills,Private,13,70,,http://www.kccc.com/,1926,"6200 Indian Ln #1203, Mission Hills, KS 66208, USA",66208,,5.9
efbfd915-85cb-46f5-8360-68ad23ddd41f,Indian Hills Country Club,39.0047737,-94.6276273,KS,Mission Hills,Private,14,70,913.362.6200,http://www.ihcckc.com/,1927,"6847 Tomahawk Rd, Mission Hills, KS 66208, USA",66208,,7.1
ef42e2ef-a1f5-4683-a36e-a25ace2ed5fa,Swope Memorial Golf Course,39.0016441,-94.5165252,MO,Kansas City,Public,10,72,816-513-8910,http://www.swopememorialgolfcourse.com/,1934,"6900 Swope Memorial Dr, Kansas City, MO 64132, USA",64132,,7.5
0a64f7f0-1c8c-4bbd-956a-6cce84ce90d4,Meadows Golf Club,39.0366173,-94.4558812,MO,Kansas City,Public,16,70,1.8571428571,https://royalmeadowsgolf.com/,1964,"10501 E 47th St, Kansas City, MO 64133, USA",64133,,7.9
bedb7403-de79-443b-a52e-29c3ab9a57fb,Heart Of America Golf Academy River Course,38.9874079,-94.5267218,MO,Kansas City,Public,7,35,(816) 513-8940,http://www.hoagolfcourse.com/,1924,"7501 Blue River Rd, Kansas City, MO 64132, USA",64132,,8.2
8b4ed254-b1f6-4c8b-aaed-cbdf27cb2e8d,Heart Of America Golf Academy Rock Course,38.9874079,-94.5267218,MO,Kansas City,Public,7,27,,http://www.hoagolfcourse.com/,2001,"7501 Blue River Rd, Kansas City, MO 64132, USA",64132,,8.2
c7d78516-22ef-4d45-81f4-4712d9367d0d,Milburn Country Club,39.0038904,-94.6730704,KS,Overland Park,Private,14,72,913-432-0490,http://milburn.org/,1917,"7501 W 69th St, Overland Park, KS 66204, USA",66204,,8.3
cc492652-50c7-47e1-a4e3-549f13baa64c,Cheyenne Hills Golf Course,39.1277778,-94.7430556,KS,Kansas City,Public,7,36,1.8571428571,https://greatlifekc.com/painted-hills/,1959,"7101 Parallel Pkwy, Kansas City, KS 66112, USA",66112,,9.0
989d9c09-09c2-48ba-9bff-27b3f6adefe7,Painted Hills Golf Club,39.1277778,-94.7430556,KS,Kansas City,Public,14,70,1.8571428571,https://greatlifekc.com/painted-hills/,1929,"7101 Parallel Pkwy, Kansas City, KS 66112, USA",66112,,9.0
